INDICATOR,MATCHUP,X,Y
RushYds,ABC_Defense x XYZ_Offense,5.999718447726419,5.99971844772642
RushYds,ABC_Offense x XYZ_Defense,5.999718447726419,5.99971844772642
PassYds,ABC_Defense x XYZ_Offense,5.999718447726419,5.99971844772642
PassYds,ABC_Offense x XYZ_Defense,5.999718447726419,5.99971844772642
SackedYards,ABC_Defense x XYZ_Offense,5.999718447726419,5.99971844772642
SackedYards,ABC_Offense x XYZ_Defense,5.999718447726419,5.99971844772642
Turnovers,ABC_Defense x XYZ_Offense,5.999718447726419,5.99971844772642
Turnovers,ABC_Offense x XYZ_Defense,5.999718447726419,5.99971844772642
PenaltyYds,ABC_Defense x XYZ_Offense,5.999718447726419,5.99971844772642
PenaltyYds,ABC_Offense x XYZ_Defense,5.999718447726419,5.99971844772642
TimeofPossession,ABC_Defense x XYZ_Offense,5.999718447726419,5.99971844772642
TimeofPossession,ABC_Offense x XYZ_Defense,5.999718447726419,5.99971844772642
