SIZE_0,SHAPE_1,SHAPE_2,SHAPE_3,SHAPE_4,SHAPE_7,SHAPE_8,SHAPE_9
184.7,0.583,0.448,2.402,0.963,1.692,0.881,3.366
180.1,0.538,0.455,2.352,1.163,1.850,0.907,3.251
203.8,0.755,0.479,2.399,0.886,1.531,0.915,3.292
176.9,0.478,0.478,2.491,1.131,1.859,0.880,3.365
184.7,0.598,0.483,2.421,1.187,1.742,1.011,3.440
190.3,0.595,0.471,2.321,1.075,1.766,0.860,3.202
186.8,0.609,0.478,2.354,1.137,1.656,0.934,3.455
172.5,0.608,0.455,2.508,1.122,1.935,1.007,3.235
197.7,0.574,0.460,2.355,1.144,1.635,0.925,3.126
181.2,0.511,0.458,2.311,1.262,1.649,0.967,3.114
198.1,0.524,0.442,2.307,1.162,1.843,0.926,3.220
185.1,0.541,0.464,2.448,1.164,1.636,0.941,3.217
184.6,0.516,0.480,2.383,1.206,1.846,0.901,3.404
189.7,0.569,0.455,2.224,1.222,1.501,0.989,3.214
180.6,0.484,0.455,2.359,1.155,1.887,0.859,3.274
181.8,0.504,0.462,2.369,1.127,1.850,0.921,3.197
186.6,0.513,0.472,2.567,1.232,1.833,0.956,3.273
182.9,0.589,0.461,2.540,1.070,1.709,0.973,3.288
188.7,0.502,0.474,2.437,1.146,1.803,0.945,3.210
184.8,0.511,0.449,2.440,1.175,1.811,0.903,3.066
205.7,0.592,0.467,2.332,1.047,1.803,0.966,3.306
198.9,0.690,0.471,2.347,0.959,1.577,0.892,3.160
194.9,0.578,0.444,2.457,1.104,1.784,0.929,3.225
189.2,0.499,0.456,2.417,1.112,1.953,0.939,3.294
185.1,0.499,0.458,2.349,1.214,1.908,0.842,3.071
189.1,0.622,0.444,2.296,1.166,1.746,0.909,3.225
181.3,0.566,0.457,2.339,1.131,1.769,0.896,3.187
194.5,0.639,0.466,2.356,1.028,1.652,0.948,3.409
173.3,0.518,0.474,2.417,1.172,1.831,0.942,3.379
193.4,0.534,0.450,2.437,1.167,1.805,0.962,3.186
194.6,0.536,0.434,2.383,1.208,1.920,0.970,3.030
194.3,0.513,0.482,2.575,1.106,1.866,0.950,3.446
187.5,0.539,0.455,2.406,1.111,1.772,0.902,3.363
226.9,0.726,0.473,2.410,0.873,1.552,0.850,3.278
